employeenumber,total_risk_points,risk_degree
1548,2,"HIGH RISK"
1549,2,"HIGH RISK"
1550,1,"Medium Risk"
1551,2,"HIGH RISK"
1552,1,"Medium Risk"
1553,0,"low risk"
1554,1,"Medium Risk"
1555,0,"low risk"
1556,2,"HIGH RISK"
1557,0,"low risk"
1558,1,"Medium Risk"
1560,1,"Medium Risk"
1562,1,"Medium Risk"
1563,1,"Medium Risk"
1564,2,"HIGH RISK"
1568,0,"low risk"
1569,3,"HIGH RISK"
1572,0,"low risk"
1573,1,"Medium Risk"
1574,2,"HIGH RISK"
1576,2,"HIGH RISK"
1577,0,"low risk"
1578,0,"low risk"
1580,1,"Medium Risk"
1581,1,"Medium Risk"
1582,0,"low risk"
1583,1,"Medium Risk"
1585,0,"low risk"
1586,3,"HIGH RISK"
1587,1,"Medium Risk"
1588,0,"low risk"
1590,0,"low risk"
1591,1,"Medium Risk"
1592,1,"Medium Risk"
1594,2,"HIGH RISK"
1595,0,"low risk"
1596,1,"Medium Risk"
1597,0,"low risk"
1598,2,"HIGH RISK"
1599,0,"low risk"
1601,1,"Medium Risk"
1602,1,"Medium Risk"
1604,2,"HIGH RISK"
1605,1,"Medium Risk"
1606,1,"Medium Risk"
1607,1,"Medium Risk"
1608,1,"Medium Risk"
1609,1,"Medium Risk"
1611,2,"HIGH RISK"
1612,2,"HIGH RISK"
1613,1,"Medium Risk"
1614,2,"HIGH RISK"
1615,0,"low risk"
1617,2,"HIGH RISK"
1618,1,"Medium Risk"
1619,2,"HIGH RISK"
1621,1,"Medium Risk"
1622,2,"HIGH RISK"
1623,1,"Medium Risk"
1624,2,"HIGH RISK"
1625,0,"low risk"
1627,1,"Medium Risk"
1628,0,"low risk"
1630,1,"Medium Risk"
1631,0,"low risk"
1633,1,"Medium Risk"
1635,0,"low risk"
1638,1,"Medium Risk"
1639,1,"Medium Risk"
1640,1,"Medium Risk"
1641,1,"Medium Risk"
1642,2,"HIGH RISK"
1644,0,"low risk"
1645,2,"HIGH RISK"
1646,2,"HIGH RISK"
1647,1,"Medium Risk"
1648,1,"Medium Risk"
1649,3,"HIGH RISK"
1650,0,"low risk"
1651,1,"Medium Risk"
1653,1,"Medium Risk"
1654,0,"low risk"
1655,0,"low risk"
1656,2,"HIGH RISK"
1657,1,"Medium Risk"
1658,0,"low risk"
1659,1,"Medium Risk"
1661,1,"Medium Risk"
1662,1,"Medium Risk"
1664,1,"Medium Risk"
1665,0,"low risk"
1666,0,"low risk"
1667,2,"HIGH RISK"
1668,0,"low risk"
1669,2,"HIGH RISK"
1670,0,"low risk"
1671,1,"Medium Risk"
1673,0,"low risk"
1674,3,"HIGH RISK"
1675,1,"Medium Risk"
1676,0,"low risk"
1677,1,"Medium Risk"
1678,2,"HIGH RISK"
1680,2,"HIGH RISK"
1681,1,"Medium Risk"
1682,1,"Medium Risk"
1683,2,"HIGH RISK"
1684,1,"Medium Risk"
1687,1,"Medium Risk"
1689,0,"low risk"
1691,2,"HIGH RISK"
1692,1,"Medium Risk"
1693,0,"low risk"
1694,0,"low risk"
1696,0,"low risk"
1697,0,"low risk"
1698,1,"Medium Risk"
1700,0,"low risk"
1701,1,"Medium Risk"
1702,2,"HIGH RISK"
1703,1,"Medium Risk"
1704,2,"HIGH RISK"
1706,1,"Medium Risk"
1707,1,"Medium Risk"
1708,0,"low risk"
1709,1,"Medium Risk"
1710,0,"low risk"
1712,0,"low risk"
1714,1,"Medium Risk"
1716,0,"low risk"
1718,1,"Medium Risk"
1719,0,"low risk"
1720,1,"Medium Risk"
1721,0,"low risk"
1722,0,"low risk"
1724,2,"HIGH RISK"
1725,2,"HIGH RISK"
1727,0,"low risk"
1728,0,"low risk"
1729,1,"Medium Risk"
1731,0,"low risk"
1732,1,"Medium Risk"
1733,3,"HIGH RISK"
1734,0,"low risk"
1735,1,"Medium Risk"
1736,0,"low risk"
1737,1,"Medium Risk"
1739,0,"low risk"
1740,0,"low risk"
1744,1,"Medium Risk"
1745,2,"HIGH RISK"
1746,1,"Medium Risk"
1747,0,"low risk"
1749,0,"low risk"
1751,1,"Medium Risk"
1752,1,"Medium Risk"
1753,1,"Medium Risk"
1754,1,"Medium Risk"
1755,2,"HIGH RISK"
1756,0,"low risk"
1757,1,"Medium Risk"
1758,2,"HIGH RISK"
1760,1,"Medium Risk"
1761,0,"low risk"
1762,2,"HIGH RISK"
1763,0,"low risk"
1764,1,"Medium Risk"
1766,1,"Medium Risk"
1767,2,"HIGH RISK"
1768,0,"low risk"
1770,1,"Medium Risk"
1771,1,"Medium Risk"
1772,2,"HIGH RISK"
1774,1,"Medium Risk"
1775,1,"Medium Risk"
1778,1,"Medium Risk"
1779,0,"low risk"
1780,1,"Medium Risk"
1782,0,"low risk"
1783,3,"HIGH RISK"
1784,0,"low risk"
1786,0,"low risk"
1787,1,"Medium Risk"
1789,1,"Medium Risk"
1790,3,"HIGH RISK"
1792,2,"HIGH RISK"
1794,0,"low risk"
1797,1,"Medium Risk"
1798,2,"HIGH RISK"
1799,1,"Medium Risk"
1800,0,"low risk"
1801,1,"Medium Risk"
1802,2,"HIGH RISK"
1803,1,"Medium Risk"
1804,0,"low risk"
1805,1,"Medium Risk"
1807,1,"Medium Risk"
1809,2,"HIGH RISK"
1812,1,"Medium Risk"
1813,1,"Medium Risk"
1814,0,"low risk"
1815,1,"Medium Risk"
1816,1,"Medium Risk"
1818,2,"HIGH RISK"
1821,0,"low risk"
1822,1,"Medium Risk"
1823,0,"low risk"
1824,0,"low risk"
1826,1,"Medium Risk"
1827,1,"Medium Risk"
1829,2,"HIGH RISK"
1830,0,"low risk"
1833,1,"Medium Risk"
1834,2,"HIGH RISK"
1835,1,"Medium Risk"
1836,1,"Medium Risk"
1837,1,"Medium Risk"
1839,1,"Medium Risk"
1842,1,"Medium Risk"
1844,3,"HIGH RISK"
1845,0,"low risk"
1847,1,"Medium Risk"
1849,1,"Medium Risk"
1850,2,"HIGH RISK"
1852,0,"low risk"
1853,0,"low risk"
1854,1,"Medium Risk"
1856,1,"Medium Risk"
1857,0,"low risk"
1858,1,"Medium Risk"
1859,0,"low risk"
1860,1,"Medium Risk"
1862,1,"Medium Risk"
1863,1,"Medium Risk"
1864,1,"Medium Risk"
1865,1,"Medium Risk"
1866,0,"low risk"
1867,0,"low risk"
1868,2,"HIGH RISK"
1869,0,"low risk"
1870,2,"HIGH RISK"
1871,1,"Medium Risk"
1873,1,"Medium Risk"
1875,0,"low risk"
1876,1,"Medium Risk"
1878,1,"Medium Risk"
1880,1,"Medium Risk"
1881,1,"Medium Risk"
1882,1,"Medium Risk"
1883,2,"HIGH RISK"
1885,2,"HIGH RISK"
1886,1,"Medium Risk"
1888,0,"low risk"
1890,1,"Medium Risk"
1892,1,"Medium Risk"
1893,2,"HIGH RISK"
1898,0,"low risk"
1900,0,"low risk"
1903,2,"HIGH RISK"
1905,3,"HIGH RISK"
1907,0,"low risk"
1908,0,"low risk"
1909,1,"Medium Risk"
1911,1,"Medium Risk"
1912,2,"HIGH RISK"
1915,1,"Medium Risk"
1916,1,"Medium Risk"
1918,1,"Medium Risk"
1922,0,"low risk"
1924,0,"low risk"
1927,1,"Medium Risk"
1928,2,"HIGH RISK"
1929,0,"low risk"
1931,1,"Medium Risk"
1932,1,"Medium Risk"
1933,1,"Medium Risk"
1934,1,"Medium Risk"
1935,2,"HIGH RISK"
1936,2,"HIGH RISK"
1937,2,"HIGH RISK"
1938,1,"Medium Risk"
1939,2,"HIGH RISK"
1940,0,"low risk"
1941,0,"low risk"
1943,2,"HIGH RISK"
1944,1,"Medium Risk"
1945,1,"Medium Risk"
1947,1,"Medium Risk"
1948,2,"HIGH RISK"
1949,1,"Medium Risk"
1950,0,"low risk"
1951,1,"Medium Risk"
1952,2,"HIGH RISK"
1954,1,"Medium Risk"
1955,0,"low risk"
1956,2,"HIGH RISK"
1960,1,"Medium Risk"
1961,1,"Medium Risk"
1962,1,"Medium Risk"
1965,1,"Medium Risk"
1966,0,"low risk"
1967,2,"HIGH RISK"
1968,2,"HIGH RISK"
1969,1,"Medium Risk"
1970,0,"low risk"
1971,0,"low risk"
1972,2,"HIGH RISK"
1973,1,"Medium Risk"
1974,2,"HIGH RISK"
1975,1,"Medium Risk"
1976,1,"Medium Risk"
1979,0,"low risk"
1980,3,"HIGH RISK"
1981,0,"low risk"
1982,1,"Medium Risk"
1985,0,"low risk"
1986,1,"Medium Risk"
1987,1,"Medium Risk"
1989,0,"low risk"
1992,1,"Medium Risk"
1993,0,"low risk"
1994,1,"Medium Risk"
1995,0,"low risk"
1996,1,"Medium Risk"
1997,0,"low risk"
1998,2,"HIGH RISK"
1999,1,"Medium Risk"
2000,0,"low risk"
2003,2,"HIGH RISK"
2007,0,"low risk"
2008,0,"low risk"
2009,2,"HIGH RISK"
2010,1,"Medium Risk"
2012,1,"Medium Risk"
2013,1,"Medium Risk"
2014,0,"low risk"
2015,0,"low risk"
2016,1,"Medium Risk"
2017,1,"Medium Risk"
2018,2,"HIGH RISK"
2019,1,"Medium Risk"
2020,2,"HIGH RISK"
2021,3,"HIGH RISK"
2022,0,"low risk"
2023,2,"HIGH RISK"
2024,0,"low risk"
2025,1,"Medium Risk"
2026,0,"low risk"
2027,2,"HIGH RISK"
2031,0,"low risk"
2032,1,"Medium Risk"
2034,0,"low risk"
2035,1,"Medium Risk"
2036,1,"Medium Risk"
2037,0,"low risk"
2038,2,"HIGH RISK"
2040,1,"Medium Risk"
2041,1,"Medium Risk"
2044,0,"low risk"
2045,1,"Medium Risk"
2046,1,"Medium Risk"
2048,1,"Medium Risk"
2049,1,"Medium Risk"
2051,1,"Medium Risk"
2052,0,"low risk"
2053,1,"Medium Risk"
2054,2,"HIGH RISK"
2055,2,"HIGH RISK"
2056,0,"low risk"
2057,2,"HIGH RISK"
2060,1,"Medium Risk"
2061,1,"Medium Risk"
2062,1,"Medium Risk"
2064,2,"HIGH RISK"
2065,1,"Medium Risk"
2068,1,"Medium Risk"
